gene_symbol	score	rank	method	disease
EMD	0.000306724241642925	486	rwr	BC
LYN	0.000306312178529411	487	rwr	BC
CSE1L	0.000305275566729741	488	rwr	BC
PIK3C3	0.000303002634025388	489	rwr	BC
MCM8	0.000302621585434674	490	rwr	BC
SIGLECL1	0.000302324985730459	491	rwr	BC
KAT7	0.00030176798614938	492	rwr	BC
OLA1	0.000301622059833006	493	rwr	BC
FOXO3	0.000301441792878999	494	rwr	BC
USP44	0.000300332334617698	495	rwr	BC
EME1	0.000299933359674627	496	rwr	BC
CCT6A	0.000298393673510005	497	rwr	BC
MYH9	0.000297611982894158	498	rwr	BC
HNRNPK	0.000297466579017686	499	rwr	BC
EEF1A1	0.000297398152148666	500	rwr	BC
MAGED1	0.00029706205319987	501	rwr	BC
ACTN1	0.000296913433141221	502	rwr	BC
TLN1	0.000296689519601472	503	rwr	BC
BAG3	0.000295846289585899	504	rwr	BC
RAD21	0.000295611640213635	505	rwr	BC
TICAM1	0.000295349011038682	506	rwr	BC
MANSC1	0.000294669332183792	507	rwr	BC
MAGEA8	0.000294602826698328	508	rwr	BC
RPL4	0.000294149139527072	509	rwr	BC
SNX32	0.000294098461030918	510	rwr	BC
RPL23A	0.000293830730483801	511	rwr	BC
HSPA9	0.000293792860362042	512	rwr	BC
TMEM30B	0.000293240400971407	513	rwr	BC
RPL14	0.000292907584145419	514	rwr	BC
CDCA7L	0.000291571829513958	515	rwr	BC
SNW1	0.00029141552257771	516	rwr	BC
FRMD6	0.000291005287225889	517	rwr	BC
DNAJA1	0.000290336812283804	518	rwr	BC
TBK1	0.000290201921315385	519	rwr	BC
NRAS	0.000289664182544012	520	rwr	BC
MYOG	0.000289633751113534	521	rwr	BC
USP10	0.000289585984073842	522	rwr	BC
LATS2	0.00028873018501804	523	rwr	BC
TMSB4X	0.000288463884988292	524	rwr	BC
TCERG1	0.000288099450660003	525	rwr	BC
UHRF1	0.000287304702840434	526	rwr	BC
PSEN1	0.000286877361811011	527	rwr	BC
ZC3H18	0.000286054418445993	528	rwr	BC
LITAF	0.000285874028248618	529	rwr	BC
RPS4X	0.000285711693728665	530	rwr	BC
MRPS22	0.000284325975425369	531	rwr	BC
CDKL5	0.000283635959923977	532	rwr	BC
SIN3A	0.000283560008109232	533	rwr	BC
WTIP	0.00028348782055817	534	rwr	BC
PSMD4	0.000283373957965219	535	rwr	BC
ALK	0.000283220742885604	536	rwr	BC
SYK	0.000282835825586076	537	rwr	BC
RPS13	0.000282679677352623	538	rwr	BC
NCOR1	0.000282636741357759	539	rwr	BC
ETV4	0.000282168042673695	540	rwr	BC
NCK1	0.000282027174658806	541	rwr	BC
FCGRT	0.000280980206115945	542	rwr	BC
UBXN4	0.000280621224462459	543	rwr	BC
HNRNPL	0.000280147982384776	544	rwr	BC
LRRK2	0.000280081115302418	545	rwr	BC
NDRG1	0.000279868501725894	546	rwr	BC
PSMC5	0.000279366306074006	547	rwr	BC
RPS20	0.000277417142004149	548	rwr	BC
IVD	0.000276868190164373	549	rwr	BC
HAVCR2	0.000276192674645842	550	rwr	BC
CHERP	0.000276100207755076	551	rwr	BC
SNRNP70	0.000276096791440434	552	rwr	BC
BCL3	0.000275868090807277	553	rwr	BC
RPL7	0.000275453584067011	554	rwr	BC
CLTC	0.000274864915076349	555	rwr	BC
CAP1	0.000274764835654417	556	rwr	BC
FASN	0.000274282825623347	557	rwr	BC
YY1	0.000274099116045325	558	rwr	BC
APEX1	0.000274056011344472	559	rwr	BC
UBE3A	0.000273693245436861	560	rwr	BC
HMGA1	0.000273671741989871	561	rwr	BC
MTA2	0.000272782278508531	562	rwr	BC
DEDD2	0.000272301854439055	563	rwr	BC
XPC	0.000272228393166003	564	rwr	BC
FGFR4	0.000270191710223329	565	rwr	BC
SMAD4	0.000270102957097063	566	rwr	BC
CCT4	0.000269830049367239	567	rwr	BC
TSPAN3	0.000269753547501944	568	rwr	BC
HIP1	0.000269379115512997	569	rwr	BC
PRPF31	0.000268960056517863	570	rwr	BC
RPS3A	0.000268733453531673	571	rwr	BC
MRAP2	0.000268707363389562	572	rwr	BC
CAB39L	0.000268001673401396	573	rwr	BC
COX4I1	0.00026776366876278	574	rwr	BC
ERRFI1	0.000267698058128255	575	rwr	BC
CDKN1B	0.000266358218855875	576	rwr	BC
SMARCC2	0.000266218056649352	577	rwr	BC
CASP6	0.000266071495789355	578	rwr	BC
UBE2N	0.000265835314042119	579	rwr	BC
CCNA2	0.000265739023102688	580	rwr	BC
MEPCE	0.000265726463384518	581	rwr	BC
FEN1	0.000265507207097786	582	rwr	BC
HSP90B1	0.000265489902825714	583	rwr	BC
BCL10	0.000263554281379068	584	rwr	BC
SNAI1	0.0002634689054064	585	rwr	BC
U2AF2	0.000263099882549438	586	rwr	BC
RPL23	0.000262797847235006	587	rwr	BC
RPL5	0.000262768322606482	588	rwr	BC
ERBB4	0.000262265157200932	589	rwr	BC
CDK4	0.000262162365031887	590	rwr	BC
IP6K1	0.000261842221087188	591	rwr	BC
CRKL	0.000261351341625313	592	rwr	BC
FKBP6	0.000259698908264029	593	rwr	BC
CAV1	0.00025938873539732	594	rwr	BC
MAGI1	0.000259246281283796	595	rwr	BC
