gene_symbol	z_score	raw_pvalue	rwr_score	rwr_rank	adj_pvalue_bh	significant
SLC4A7	0.28947746046347117	0.38610801292373786	8.90491458202964e-05	1597	0.9462365527300982	False
C5ORF34	0.28901457854713664	0.3862851106684138	1.03895736065545e-05	6009	0.9462365527300982	False
HDAC9	0.2884858900179172	0.3864874148823372	6.00128337206408e-05	2176	0.9462365527300982	False
B3GAT3	0.2884272960946995	0.38650983791905896	1.53224751431302e-05	5174	0.9462365527300982	False
GTF2F1	0.2884096185954257	0.38651660291368284	0.0001344477704297	1098	0.9462365527300982	False
MFSD4A	0.288336080859653	0.386544745408433	6.51537908317839e-06	6903	0.9462365527300982	False
HELLS	0.28825934162104905	0.38657411373730444	8.43722928191179e-05	1679	0.9462365527300982	False
KPNA3	0.2876724508227636	0.386798740017395	0.0001491661010588	1004	0.9462365527300982	False
GRK2	0.2874202538572574	0.3868952774082558	4.12106548694197e-06	7590	0.9462365527300982	False
GRK3	0.2874202538572404	0.3868952774082623	8.73015092734465e-07	9023	0.9462365527300982	False
CTR9	0.28707936304177967	0.38702577665738186	0.0001116631001283	1319	0.9462365527300982	False
LTBP4	0.2857700145322029	0.38752713786851317	8.96585379922961e-06	6321	0.9462365527300982	False
NAA20	0.28569988045975764	0.38755399813110347	9.51207966871345e-06	6200	0.9462365527300982	False
TYW1	0.2853676150865972	0.3876812579313803	3.44814107591099e-05	3296	0.9462365527300982	False
RGS11	0.28477009872231446	0.3879101409409774	3.1676954113808e-06	7939	0.9462365527300982	False
ZBTB20	0.28477009872231446	0.3879101409409774	3.1676954113808e-06	7940	0.9462365527300982	False
HSPB9	0.2828774325170018	0.38863539728418706	7.4760468197264e-06	6663	0.9462365527300982	False
PIK3R4	0.2826831736630096	0.3887098579257076	3.62575347521458e-05	3185	0.9462365527300982	False
SLC25A51	0.2825074030945948	0.3887772354148522	1.5198009375263e-05	5197	0.9462365527300982	False
PRKCI	0.28202379183608967	0.3889626336109232	0.0001273298173942	1156	0.9462365527300982	False
HSPA8	0.2814984710807508	0.3891640502969811	0.0018805860773048	35	0.9462365527300982	False
TFE3	0.2813998578271092	0.38920186357537423	2.39952029711193e-05	4138	0.9462365527300982	False
MEIS2	0.2812220385153299	0.38927005108966445	4.53661805621012e-06	7470	0.9462365527300982	False
NRSN2	0.2810912756203269	0.3893201962825287	8.30888816484374e-06	6450	0.9462365527300982	False
FAM110B	0.28101714649673126	0.38934862427237726	1.09197969729508e-05	5906	0.9462365527300982	False
INSL3	0.28060929182455324	0.3895050442170858	1.61881010352728e-05	5051	0.9462365527300982	False
TBK1	0.27990952905654864	0.3897734581068981	0.0002902019213153	519	0.9462365527300982	False
SLU7	0.27988532211001355	0.3897827443105575	1.6184427808982e-05	5052	0.9462365527300982	False
SLC22A2	0.2797860814857041	0.38982081538931407	6.46307154271043e-07	9239	0.9462365527300982	False
EXT2	0.2797860814857041	0.38982081538931407	1.84659232087081e-06	8474	0.9462365527300982	False
EXT1	0.27978608148569345	0.3898208153893182	1.44596091090934e-05	5300	0.9462365527300982	False
PIGR	0.2789644878132358	0.39013603895617177	7.66704078353741e-06	6612	0.9462365527300982	False
TRIM16L	0.278498592619772	0.3903148226256937	1.15900354018826e-05	5778	0.9462365527300982	False
MFSD11	0.278460821227122	0.3903293181219919	3.03470826350551e-06	7988	0.9462365527300982	False
GGNBP2	0.278062674997829	0.390482123643035	1.02435753127088e-05	6045	0.9462365527300982	False
PITX1	0.2779319145704475	0.3905323122008365	2.95679547397319e-05	3636	0.9462365527300982	False
SMAD6	0.2774198762993751	0.39072886063312595	5.00975436618806e-05	2485	0.9462365527300982	False
SULT1C4	0.27741014687042753	0.39073259559319334	1.80609107959156e-07	9449	0.9462365527300982	False
SULT1A1	0.2774101468704257	0.39073259559319407	2.71986575099588e-06	8112	0.9462365527300982	False
SULT1C2	0.2774101468704257	0.39073259559319407	5.16028964063427e-07	9338	0.9462365527300982	False
FLACC1	0.2774101468704087	0.3907325955932006	2.081031337444e-07	9444	0.9462365527300982	False
SULT2B1	0.27741014687040494	0.39073259559320206	1.04465276560368e-06	8895	0.9462365527300982	False
SULT1B1	0.27741014687040494	0.39073259559320206	2.3411602546245e-07	9439	0.9462365527300982	False
PHLPP2	0.2766109527260984	0.39103942684260207	2.5404279883173e-05	3995	0.9462365527300982	False
CACNA1D	0.2761284825227105	0.3912246924501064	1.26537977357259e-06	8766	0.9462365527300982	False
DOCK1	0.2761107528203725	0.3912315010178167	3.68841272477454e-05	3143	0.9462365527300982	False
CLMN	0.2759705144701537	0.3912853565820629	1.30329352199957e-05	5533	0.9462365527300982	False
DHRS3	0.2757013286046517	0.39138873754425196	5.45743104914695e-06	7203	0.9462365527300982	False
NFKB2	0.2756592453422544	0.3914049003352797	9.26111813491549e-05	1543	0.9462365527300982	False
LIPF	0.27516158652242717	0.39159604886151916	5.8721503767933e-06	7082	0.9462365527300982	False
SCAPER	0.2749738613728966	0.3916681600535547	3.56150329145137e-06	7802	0.9462365527300982	False
SCML2	0.27497111746458347	0.39166921410349165	2.57580165216997e-05	3955	0.9462365527300982	False
LHX4	0.2744875289201746	0.3918549931020701	3.82697356510006e-05	3062	0.9462365527300982	False
UST	0.2743764250210871	0.39189767909374773	2.03909956847301e-05	4518	0.9462365527300982	False
CRYBA1	0.27363301531130274	0.39218332971820397	6.0233708986446e-06	7044	0.9462365527300982	False
VMA21	0.272683564884858	0.3925482347106506	1.12019838603816e-05	5850	0.9462365527300982	False
OR5F1	0.2724905127471692	0.39262244255876977	8.04736105253538e-06	6519	0.9462365527300982	False
COMMD10	0.27220038822255327	0.392733971672599	3.429869405277e-05	3307	0.9462365527300982	False
PGCKA1	0.2720600524348773	0.3927879224484143	4.50431757627642e-06	7483	0.9462365527300982	False
PCSK9	0.27204109357736034	0.3927952111611219	1.864258034957e-05	4738	0.9462365527300982	False
TAT	0.2714154667227768	0.3930357538169691	8.26676080586327e-06	6462	0.9462365527300982	False
PIN4	0.27089387435385665	0.3932363282488098	2.72630753327232e-06	8109	0.9462365527300982	False
