Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module_id,module_size
Reactome_2022,Metalloprotease DUBs R-HSA-5689901,2/31,0.0032805707069433,0.0141362774099193,0,0,25.915419648666237,148.2294073291968,BARD1;BRCA1,0,55
Reactome_2022,Activation Of Pre-Replicative Complex R-HSA-68962,2/32,0.0034931271287104,0.0147834130268639,0,0,25.050314465408807,141.7085747770232,ORC4;MCM8,0,55
Reactome_2022,Oncogene Induced Senescence R-HSA-2559585,2/33,0.0037119578894409,0.0151678279275431,0,0,24.241022519780888,135.65750862045326,CDKN2D;TP53,0,55
Reactome_2022,Telomere C-strand (Lagging Strand) Synthesis R-HSA-174417,2/33,0.0037119578894409,0.0151678279275431,0,0,24.241022519780888,135.65750862045326,BLM;TERF2,0,55
Reactome_2022,Cellular Responses To Stimuli R-HSA-8953897,7/736,0.0038806164829195,0.0155512612143685,0,0,3.8440786465477834,21.34140687423133,CDKN2D;MT2A;BRIP1;RAD50;ATM;TERF2;TP53,0,55
Reactome_2022,Transcriptional Regulation By E2F6 R-HSA-8953750,2/34,0.0039370281555363,0.0155512612143685,0,0,23.48231132075472,130.0292861762509,RBBP8;BRCA1,0,55
Reactome_2022,Activation Of ATR In Response To Replication Stress R-HSA-176187,2/36,0.0044057485573151,0.0168413291626402,0,0,22.098779134295228,119.88245371315708,ORC4;MCM8,0,55
Reactome_2022,Regulation Of TP53 Degradation R-HSA-6804757,2/36,0.0044057485573151,0.0168413291626402,0,0,22.098779134295228,119.88245371315708,ATM;TP53,0,55
Reactome_2022,Regulation Of TP53 Expression And Degradation R-HSA-6806003,2/37,0.0046493297130716,0.0174903355872694,0,0,21.466307277628037,115.29622797888813,ATM;TP53,0,55
Reactome_2022,TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008,2/44,0.0065233382304956,0.0241567368848043,0,0,17.88230008984726,89.9903332561638,ATM;TP53,0,55
Reactome_2022,Disease R-HSA-1643685,11/1736,0.0068818934077718,0.0250924421175682,0,0,2.6405797101449275,13.14708055163982,MSH6;BARD1;BLM;BRIP1;RAD50;RBBP8;PMS2;ATM;BRCA1;MLH1;TP53,0,55
Reactome_2022,Mitotic G1 Phase And G1/S Transition R-HSA-453279,3/147,0.0077201101912605,0.0277222138686172,0,0,7.933092948717949,38.5859821433043,CDKN2D;ORC4;MCM8,0,55
Reactome_2022,Extension Of Telomeres R-HSA-180786,2/50,0.0083588302127531,0.0295678023943656,0,0,15.642295597484276,74.83957451132376,BLM;TERF2,0,55
Reactome_2022,Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425,2/51,0.0086847744196851,0.0302689931980203,0,0,15.322294955718135,72.72242891249378,ATM;TP53,0,55
Reactome_2022,Stabilization Of P53 R-HSA-69541,2/56,0.0103983862699687,0.0357161963185883,0,0,13.900069881201956,63.46917373688809,ATM;TP53,0,55
Reactome_2022,mRNA 3-End Processing R-HSA-72187,2/58,0.0111223827118784,0.0376572100387884,0,0,13.402291105121291,60.29417013614965,CSTF2;CSTF1,0,55
Reactome_2022,Meiotic Synapsis R-HSA-1221632,2/60,0.0118680285263518,0.0396158135316252,0,0,12.938841899804814,57.36962390882845,BRCA1;TERF2,0,55
Reactome_2022,Activation Of NOXA And Translocation To Mitochondria R-HSA-111448,1/5,0.0136758198325555,0.0442439988293805,0,0,92.31944444444444,396.2466860772184,TP53,0,55
Reactome_2022,Regulation Of HMOX1 Expression And Activity R-HSA-9707587,1/5,0.0136758198325555,0.0442439988293805,0,0,92.31944444444444,396.2466860772184,BRIP1,0,55
Reactome_2022,p53-Dependent G1 DNA Damage Response R-HSA-69563,2/65,0.0138252191069315,0.0442439988293805,0,0,11.908954776879304,50.98534224482072,ATM;TP53,0,55
Reactome_2022,Cellular Responses To Stress R-HSA-2262752,6/722,0.0140012654523356,0.0442439988293805,0,0,3.288507581803671,14.037348337955914,CDKN2D;BRIP1;RAD50;ATM;TERF2;TP53,0,55
Reactome_2022,G1/S DNA Damage Checkpoints R-HSA-69615,2/67,0.0146446770009352,0.0450751746652163,0,0,11.541364296081277,48.74701055518876,ATM;TP53,0,55
Reactome_2022,RNA Polymerase II Transcription Termination R-HSA-73856,2/67,0.0146446770009352,0.0450751746652163,0,0,11.541364296081277,48.74701055518876,CSTF2;CSTF1,0,55
Reactome_2022,Orc1 Removal From Chromatin R-HSA-68949,2/69,0.0154846720836357,0.0470495805618162,0,0,11.1957195156294,46.66269134161318,ORC4;MCM8,0,55
Reactome_2022,Estrogen Biosynthesis R-HSA-193144,1/6,0.0163888762191803,0.0491666286575411,0,0,73.85185185185185,303.6162219440683,HSD17B14,0,55
KEGG_2021_Human,Homologous recombination,7/41,8.299493472486643e-12,1.9918784333967943e-10,0,0,95.35704514363886,2433.018474827124,RAD52;RAD51;RAD51C;XRCC2;XRCC3;BRCA2;PALB2,1,50
KEGG_2021_Human,Fanconi anemia pathway,4/54,9.96677383351584e-06,0.00011960128600219008,0,0,34.608695652173914,398.5625163721059,RAD51C;RAD51;BRCA2;PALB2,1,50
Reactome_2022,Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568,8/33,1.1214261698227011e-14,1.149045500287764e-12,0,0,151.8095238095238,4876.363291125565,RAD51AP1;RAD51;RAD51C;XRCC2;XRCC3;BRCA2;PALB2;SPIDR,1,50
Reactome_2022,Resolution Of D-Loop Structures R-HSA-5693537,8/34,1.4637522296659413e-14,1.149045500287764e-12,0,0,145.96336996336996,4649.690612130351,RAD51AP1;RAD51;RAD51C;XRCC2;XRCC3;BRCA2;PALB2;SPIDR,1,50
Reactome_2022,HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,10/114,2.053268896825741e-13,1.0568093184734063e-11,0,0,47.70673076923077,1393.7126908206094,RNF168;RAD51AP1;RAD52;RAD51C;RAD51;XRCC2;XRCC3;BRCA2;SPIDR;PALB2,1,50
Reactome_2022,Homology Directed Repair R-HSA-5693538,10/119,3.18072434167714e-13,1.0568093184734063e-11,0,0,45.50688073394495,1309.528628645342,RNF168;RAD51AP1;RAD52;RAD51C;RAD51;XRCC2;XRCC3;BRCA2;SPIDR;PALB2,1,50
