Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756	8/90	1.253452e-10	1.856676e-09	0	0	4.123093e+01	9.400631e+02	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;TP53
Reactome_2022	Cell Cycle Checkpoints R-HSA-69620	11/271	1.629424e-10	2.271609e-09	0	0	1.892788e+01	4.265896e+02	BARD1;ORC4;BLM;BRIP1;RAD50;MCM8;RBBP8;ATM;BRCA1;TP53BP1;TP53
Reactome_2022	DNA Double-Strand Break Repair R-HSA-5693532	9/149	2.631433e-10	3.464720e-09	0	0	2.767780e+01	6.105257e+02	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;TP53BP1;TP53
Reactome_2022	HDR Thru Homologous Recombination (HRR) R-HSA-5685942	7/67	6.129886e-10	7.646226e-09	0	0	4.833160e+01	1.025242e+03	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1
Reactome_2022	HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567	8/114	8.463018e-10	1.002868e-08	0	0	3.185709e+01	6.654991e+02	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;TP53BP1
Reactome_2022	Homology Directed Repair R-HSA-5693538	8/119	1.193432e-09	1.346873e-08	0	0	3.041441e+01	6.249077e+02	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;TP53BP1
Reactome_2022	Cell Cycle R-HSA-1640170	14/654	1.755195e-09	1.890824e-08	0	0	1.029992e+01	2.076535e+02	BARD1;CDKN2D;BLM;MCM8;BRCA1;MLH1;TERF2;ORC4;BRIP1;RAD50;RBBP8;ATM;TP53BP1;TP53
Reactome_2022	Transcriptional Regulation By TP53 R-HSA-3700989	11/354	2.729501e-09	2.812572e-08	0	0	1.428717e+01	2.817308e+02	BARD1;BLM;BRIP1;RAD50;FANCD2;RBBP8;PMS2;ATM;BRCA1;MLH1;TP53
Reactome_2022	Meiosis R-HSA-1500620	7/88	4.281457e-09	4.227939e-08	0	0	3.576337e+01	6.891235e+02	BLM;RAD50;RBBP8;ATM;BRCA1;MLH1;TERF2
Reactome_2022	Meiotic Recombination R-HSA-912446	6/56	9.537830e-09	9.041863e-08	0	0	4.872245e+01	8.998062e+02	BLM;RAD50;RBBP8;ATM;BRCA1;MLH1
Reactome_2022	Regulation Of TP53 Activity R-HSA-5633007	8/157	1.073295e-08	9.783493e-08	0	0	2.261431e+01	4.149714e+02	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;TP53
Reactome_2022	Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565	6/60	1.458354e-08	1.280110e-07	0	0	4.510431e+01	8.138338e+02	BARD1;RAD50;ATM;BRCA1;TP53BP1;TP53
Reactome_2022	DNA Double Strand Break Response R-HSA-5693606	6/61	1.614052e-08	1.366180e-07	0	0	4.428200e+01	7.945047e+02	BARD1;RAD50;ATM;BRCA1;TP53BP1;TP53
Reactome_2022	TP53 Regulates Transcription Of DNA Repair Genes R-HSA-6796648	6/62	1.783235e-08	1.457334e-07	0	0	4.348907e+01	7.759429e+02	FANCD2;PMS2;ATM;BRCA1;MLH1;TP53
Reactome_2022	Reproduction R-HSA-1474165	7/113	2.471190e-08	1.952240e-07	0	0	2.729422e+01	4.780851e+02	BLM;RAD50;RBBP8;ATM;BRCA1;MLH1;TERF2
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	17/1312	4.367573e-08	3.339080e-07	0	0	6.442796e+00	1.091827e+02	BARD1;BLM;CSTF2;BRCA1;MLH1;BRIP1;RAD50;FANCD2;CSTF1;RBBP8;NABP2;PMS2;ATM;TP53;ZNF597;ZNF200;ZNF398
